drug	response_metric	response_metric_label	response_metric_scale	ploidy_stat	ploidy_stat_label	sample	group	group_pair_label	ploidy_class	ploidy	ploidy_source	analysis_cloneid_origin	origin_resolution_status	origin_resolution_distance_edges	origin_resolution_mrca	metric_uM	metric_value	model_type
Gemcitabine	ec50	EC50	log10_uM	min	minimum	HGC-27_MRCA_harvest	HGC	HGC-27: 2.9N vs. 2.7N	Low	2.85678118658185	cloneid_genome_perspective	HGC-27_MRCA_harvest	exact_mapped_genome_perspective	0	HGC-27_MRCA_harvest	0.379997767823594	-0.420218954500934	LL.4
Gemcitabine	ec50	EC50	log10_uM	min	minimum	HGC-27_G1_A10_harvesT3	HGC	HGC-27: 2.9N vs. 2.7N	High	2.74152758510204	cloneid_genome_perspective	HGC-27_G1_A9_harvesT155	nearest_pedigree_genome_perspective	2	HGC-27_G1_A9_harvesT155	0.0578449964206701	-1.23773420146371	LL.4
Gemcitabine	ec50	EC50	log10_uM	min	minimum	MDA-MB-231_O1_A23-K_harvest	MDA	MDA-MB-231: 3.4N vs. 4.0N	Low	3.43096316050803	cloneid_genome_perspective	MDA-MB-231_O1_A23-K_harvest	exact_mapped_genome_perspective	0	MDA-MB-231_O1_A23-K_harvest	1.41847922086642	0.151822978250202	LL.4
Gemcitabine	ec50	EC50	log10_uM	min	minimum	MDA-MB-231_G2_A3_harvesT8	MDA	MDA-MB-231: 3.4N vs. 4.0N	High	4.02963973580451	cloneid_genome_perspective	MDA-MB-231_G2_A4_seed	nearest_pedigree_genome_perspective	1	MDA-MB-231_G2_A3_harvesT8	0.611772020910349	-0.213410389139676	LL.4
Gemcitabine	ec50	EC50	log10_uM	min	minimum	SNU-668_P1_A19kT_harvest	SNU	SNU-668: 2.4N vs. 2.4N	Low	2.41313766882995	cloneid_genome_perspective	SNU-668_P1_A18K_seed	nearest_pedigree_genome_perspective	3	SNU-668_P1_A17k_harvest	0.0187867114235341	-1.72614923563166	LL.4
Gemcitabine	ec50	EC50	log10_uM	min	minimum	SNU-668_r2_GFP_VT_A7_harvesT3	SNU	SNU-668: 2.4N vs. 2.4N	High	2.42301142675315	cloneid_genome_perspective	SNU-668_r2_A55_seedT1	nearest_pedigree_genome_perspective	24	SNU-668_r2_A55_seedT1	0.0537391917286998	-1.26970886991635	LL.4
Gemcitabine	ec50	EC50	log10_uM	min	minimum	SUM159_NLS_2N_O1_A7K_harvest	SUM	SUM-159: 2.1N vs. 2.2N	Low	2.09900013754716	cloneid_genome_perspective	SUM159_NLS_2N_O1_A7K_harvest	exact_mapped_genome_perspective	0	SUM159_NLS_2N_O1_A7K_harvest	0.103459411682741	-0.985229995515819	LL.4
Gemcitabine	ec50	EC50	log10_uM	min	minimum	SUM-159_NLS_2N_O2_A24_seedT2	SUM	SUM-159: 2.1N vs. 2.2N	High	2.19104435329445	cloneid_genome_perspective	SUM-159_NLS_2N_O2_A19_seed	nearest_pedigree_genome_perspective	11	SUM-159_NLS_2N_O2_A19_seed	0.0991235950299535	-1.00382295528657	LL.4
Gemcitabine	ec50	EC50	log10_uM	min	minimum	SUM-159_2N	SUMOld	SUM-159: 2.0N vs. 3.5N	Low	2.009975	embedded_fallback		target_not_in_passaging	NA	NA	0.015856962749679	-1.79977999402808	LL.4
Gemcitabine	ec50	EC50	log10_uM	min	minimum	SUM-159_4N	SUMOld	SUM-159: 2.0N vs. 3.5N	High	3.49593528659252	embedded_fallback		target_not_in_passaging	NA	NA	0.04932897683979	-1.30689789239193	LL.4
Gemcitabine	ec50	EC50	log10_uM	min	minimum	MDAMB231_2N	MDAOld	MDA-MB-231: 4.2N vs. 6.5N	Low	4.15675859608933	embedded_fallback		target_not_in_passaging	NA	NA	0.0675761684097969	-1.17020643649804	LL.4
Gemcitabine	ec50	EC50	log10_uM	min	minimum	MDAMB231_4N	MDAOld	MDA-MB-231: 4.2N vs. 6.5N	High	6.5	embedded_fallback		target_not_in_passaging	NA	NA	0.0808274378141357	-1.09244118788237	LL.4
